rows=15
cols=15
(0, 0, -23)
(0, 1, -51)
(0, 2, 163)
(0, 3, -70)
(0, 4, 127)
(0, 5, -80)
(0, 6, -146)
(0, 7, 114)
(0, 8, -88)
(0, 9, 35)
(0, 10, -46)
(0, 11, -157)
(0, 12, -65)
(0, 13, -1)
(0, 14, -86)
(1, 0, -43)
(1, 1, -44)
(1, 2, -92)
(1, 3, 136)
(1, 4, -78)
(1, 5, 79)
(1, 6, 105)
(1, 7, -36)
(1, 8, 120)
(1, 9, -48)
(1, 10, 6)
(1, 11, 142)
(1, 12, -8)
(1, 13, 99)
(1, 14, 14)
(2, 0, -107)
(2, 1, 52)
(2, 2, 71)
(2, 3, 44)
(2, 4, 168)
(2, 5, -109)
(2, 6, -43)
(2, 7, -111)
(2, 8, 158)
(2, 9, -52)
(2, 10, 23)
(2, 11, -35)
(2, 12, -111)
(2, 13, -11)
(2, 14, -136)
(3, 0, -47)
(3, 1, 1)
(3, 2, 3)
(3, 3, -5)
(3, 4, 102)
(3, 5, 12)
(3, 6, 72)
(3, 7, 168)
(3, 8, -28)
(3, 9, -30)
(3, 10, -25)
(3, 11, 70)
(3, 12, -4)
(3, 13, 3)
(3, 14, 15)
(4, 0, 39)
(4, 1, 58)
(4, 2, -115)
(4, 3, 40)
(4, 4, 22)
(4, 5, 105)
(4, 6, 30)
(4, 7, -117)
(4, 8, 5)
(4, 9, -86)
(4, 10, -77)
(4, 11, 30)
(4, 12, -47)
(4, 13, 137)
(4, 14, 64)
(5, 0, -11)
(5, 1, -61)
(5, 2, -14)
(5, 3, 81)
(5, 4, 48)
(5, 5, -52)
(5, 6, 137)
(5, 7, 54)
(5, 8, 102)
(5, 9, 97)
(5, 10, -8)
(5, 11, -42)
(5, 12, -53)
(5, 13, 51)
(5, 14, 65)
(6, 0, 52)
(6, 1, -79)
(6, 2, 20)
(6, 3, -10)
(6, 4, -76)
(6, 5, 22)
(6, 6, -19)
(6, 7, -1)
(6, 8, -17)
(6, 9, 11)
(6, 10, -4)
(6, 11, -44)
(6, 12, -46)
(6, 13, -60)
(6, 14, 65)
(7, 0, 1)
(7, 1, -9)
(7, 2, -67)
(7, 3, 9)
(7, 4, -153)
(7, 5, -54)
(7, 6, 22)
(7, 7, 159)
(7, 8, -35)
(7, 9, 77)
(7, 10, 20)
(7, 11, 100)
(7, 12, 163)
(7, 13, -75)
(7, 14, 117)
(8, 0, 65)
(8, 1, 35)
(8, 2, 71)
(8, 3, 13)
(8, 4, 1)
(8, 5, 145)
(8, 6, -133)
(8, 7, -194)
(8, 8, -23)
(8, 9, -37)
(8, 10, -47)
(8, 11, -96)
(8, 12, -76)
(8, 13, 30)
(8, 14, -55)
(9, 0, -85)
(9, 1, -45)
(9, 2, 53)
(9, 3, 119)
(9, 4, 119)
(9, 5, -144)
(9, 6, 15)
(9, 7, 1)
(9, 8, 209)
(9, 9, 42)
(9, 10, 43)
(9, 11, 15)
(9, 12, -103)
(9, 13, -46)
(9, 14, -83)
(10, 0, 11)
(10, 1, 39)
(10, 2, -77)
(10, 3, 141)
(10, 4, 35)
(10, 5, 169)
(10, 6, 87)
(10, 7, -62)
(10, 8, 74)
(10, 9, -32)
(10, 10, -109)
(10, 11, -63)
(10, 12, -48)
(10, 13, 36)
(10, 14, 101)
(11, 0, -1)
(11, 1, -35)
(11, 2, 161)
(11, 3, 65)
(11, 4, 136)
(11, 5, 15)
(11, 6, -200)
(11, 7, -119)
(11, 8, 50)
(11, 9, 65)
(11, 10, -11)
(11, 11, -215)
(11, 12, -113)
(11, 13, 43)
(11, 14, -91)
(12, 0, -4)
(12, 1, -2)
(12, 2, 61)
(12, 3, -6)
(12, 4, -47)
(12, 5, 77)
(12, 6, 14)
(12, 7, 89)
(12, 8, -35)
(12, 9, -61)
(12, 10, -50)
(12, 11, 136)
(12, 12, 16)
(12, 13, 8)
(12, 14, -58)
(13, 0, 66)
(13, 1, -84)
(13, 2, 40)
(13, 3, -44)
(13, 4, 126)
(13, 5, -34)
(13, 6, 70)
(13, 7, 68)
(13, 8, -29)
(13, 9, 94)
(13, 10, 61)
(13, 11, -208)
(13, 12, -73)
(13, 13, -60)
(13, 14, 13)
(14, 0, -60)
(14, 1, 82)
(14, 2, 24)
(14, 3, -76)
(14, 4, -111)
(14, 5, -141)
(14, 6, -77)
(14, 7, 112)
(14, 8, 11)
(14, 9, -34)
(14, 10, 64)
(14, 11, 163)
(14, 12, 147)
(14, 13, -86)
(14, 14, 32)
